art_folder,art_file,sprite_folder,sprite_file
0058growlithe,0058 Growlithe Hisui.png,0058growlithe,growlithe hisui.png
0058growlithe,0058 Growlithe RG.png,0058growlithe,growlithe.png
0059arcanine,0059 Arcanine Hisui.png,0059arcanine,arcanine hisui.png
0059arcanine,0059 Arcanine RG.png,0059arcanine,arcanine.png
0060poliwag,0060 Poliwag RB.png,0060poliwag,poliwag.png
0061poliwhirl,0061 Poliwhirl.png,0061poliwhirl,poliwhirl.png
0062poliwrath,0062 Poliwrath.png,0062poliwrath,poliwrath.png
0063abra,0063 Abra.png,0063abra,abra.png
0065alakazam,0065 Alakazam.png,0065alakazam,alakazam.png
0066machop,0066 Machop TCG.png,0066machop,machop.png
0067machoke,0067 Machoke.png,0067machoke,machoke.png
0068machamp,0068 Machamp Gigantamax.png,0068machamp,machamp-gmax.png
0068machamp,0068 Machamp TCG.png,0068machamp,machamp.png
0069bellsprout,0069 Bellsprout.png,0069bellsprout,bellsprout.png
0070weepinbell,0070 Weepinbell.png,0070weepinbell,weepinbell.png
0071victreebel,0071 Victreebel.png,0071victreebel,victreebel.png
0072tentacool,0072 Tentacool RG.png,0072tentacool,tentacool.png
0073tentacruel,0073 Tentacruel.png,0073tentacruel,tentacruel.png
0074geodude,0074 Geodude Alola.png,0074geodude,geodude alola.png
0074geodude,0074 Geodude RG.png,0074geodude,geodude.png
0075graveler,0075 Graveler Alola.png,0075graveler,graveler alola.png
0076golem,0076 Golem Alola.png,0076golem,golem alola.png
0076golem,0076 Golem.png,0076golem,golem.png
0077ponyta,0077 Ponyta Galar.png,0077ponyta,ponyta galar.png
0077ponyta,0077 Ponyta.png,0077ponyta,ponyta.png
0078rapidash,0078 Rapidash RG.png,0078rapidash,rapidash.png
0079slowpoke,0079 Slowpoke Galar.png,0079slowpoke,slowpoke galar.png
0079slowpoke,0079 Slowpoke RG.png,0079slowpoke,slowpoke.png
0080slowbro,0080 Slowbro Galar.png,0080slowbro,slowbro galar.png
0080slowbro,0080 Slowbro.png,0080slowbro,slowbro.png
0081magnemite,0081 Magnemite RG.png,0081magnemite,magnemite.png
0082magneton,0082 Magneton RG.png,0082magneton,magneton.png
0083farfetch'd,0083 Farfetch'd Galar.png,0083farfetch'd,farfetch_d_galar.png
0085dodrio,0085 Dodrio RB.png,0085dodrio,dodrio.png
0086seel,0086 Seel RG.png,0086seel,seel.png
0087dewgong,0087 Dewgong.png,0087dewgong,dewgong.png
0088grimer,0088 Grimer Alola.png,0088grimer,grimer alola.png
0088grimer,0088 Grimer.png,0088grimer,grimer.png
0089muk,0089 Muk RG.png,0089muk,muk.png
0090shellder,0090 Shellder.png,0090shellder,shellder.png
0091cloyster,0091 Cloyster.png,0091cloyster,cloyster.png
0092gastly,0092 Gastly.png,0092gastly,gastly.png
0093haunter,0093 Haunter.png,0093haunter,haunter.png
0094gengar,0094 Gengar Mega.png,0094gengar,gengar-mega.png
0094gengar,0094 Gengar RG.png,0094gengar,gengar.png
0095onix,0095 Onix.png,0095onix,onix.png
0096drowzee,0096 Drowzee RG.png,0096drowzee,drowzee.png
0097hypno,0097 Hypno.png,0097hypno,hypno.png
0099kingler,0099 Kingler RG.png,0099kingler,kingler.png
0100voltorb,0100 Voltorb RG.png,0100voltorb,voltorb.png
0101electrode,0101 Electrode.png,0101electrode,electrode.png
0102exeggcute,0102 Exeggcute.png,0102exeggcute,exeggcute.png
0103exeggutor,0103 Exeggutor Alola.png,0103exeggutor,exeggutor alola.png
0103exeggutor,0103 Exeggutor.png,0103exeggutor,exeggutor.png
0104cubone,0104 Cubone RG.png,0104cubone,cubone.png
0105marowak,0105 Marowak RB.png,0105marowak,marowak.png
0106hitmonlee,0106 Hitmonlee RG.png,0106hitmonlee,hitmonlee.png
0107hitmonchan,0107 Hitmonchan RB.png,0107hitmonchan,hitmonchan.png
0108lickitung,0108 Lickitung.png,0108lickitung,lickitung.png
0109koffing,0109 Koffing RG.png,0109koffing,koffing.png
0110weezing,0110 Weezing Galar.png,0110weezing,weezing galar.png
0110weezing,0110 Weezing.png,0110weezing,weezing.png
0111rhyhorn,0111 Rhyhorn RG.png,0111rhyhorn,rhyhorn.png
0112rhydon,0112 Rhydon RG.png,0112rhydon,rhydon.png
0113chansey,0113 Chansey.png,0113chansey,chansey.png
0114tangela,0114 Tangela RB.png,0114tangela,tangela.png
0115kangaskhan,0115 Kangaskhan RG.png,0115kangaskhan,kangaskhan.png
0116horsea,0116 Horsea.png,0116horsea,horsea.png
0117seadra,0117 Seadra RG.png,0117seadra,seadra.png
0118goldeen,0118 Goldeen RG.png,0118goldeen,goldeen.png
0119seaking,0119 Seaking.png,0119seaking,seaking.png
0120staryu,0120 Staryu.png,0120staryu,staryu.png
0121starmie,0121 Starmie.png,0121starmie,starmie.png
0122mr. mime,0122 Mr. Mime .png,0122mr. mime,mr. mime.png
0122mr. mime,0122 Mr. Mime Galar.png,0122mr. mime,mr. mime_galar.png
0123scyther,0123 Scyther RG.png,0123scyther,scyther.png
0124jynx,0124 Jynx.png,0124jynx,jynx.png
0125electabuzz,0125 Electabuzz RB.png,0125electabuzz,electabuzz.png
0126magmar,0126 Magmar RG.png,0126magmar,magmar.png
0127pinsir,0127 Pinsir Mega.png,0127pinsir,pinsir-mega.png
0127pinsir,0127 Pinsir RG.png,0127pinsir,pinsir.png
0128tauros,0128 Tauros.png,0128tauros,tauros.png
0129magikarp,0129 Magikarp RG.png,0129magikarp,magikarp.png
0130gyarados,0130 Gyarados Mega.png,0130gyarados,gyarados-mega.png
0130gyarados,0130 Gyarados.png,0130gyarados,gyarados.png
0131lapras,0131 Lapras Gigantamax.png,0131lapras,lapras-gmax.png
0131lapras,0131 Lapras RG.png,0131lapras,lapras.png
0132ditto,0132 Ditto.png,0132ditto,ditto.png
0133eevee,0133 Eevee Gigantamax 2.png,0133eevee,eevee-gmax.png
0133eevee,0133 Eevee Y.png,0133eevee,eevee.png
0134vaporeon,0134 Vaporeon RB.png,0134vaporeon,vaporeon.png
0135jolteon,0135 Jolteon RG.png,0135jolteon,jolteon.png
0136flareon,0136 Flareon.png,0136flareon,flareon.png
0137porygon,0137 Porygon.png,0137porygon,porygon.png
0139omastar,0139 Omastar RG.png,0139omastar,omastar.png
0140kabuto,0140 Kabuto.png,0140kabuto,kabuto.png
0141kabutops,0141 Kabutops.png,0141kabutops,kabutops.png
0142aerodactyl,0142 Aerodactyl Mega.png,0142aerodactyl,aerodactyl-mega.png
0142aerodactyl,0142 Aerodactyl.png,0142aerodactyl,aerodactyl.png
0143snorlax,0143 Snorlax Gigantamax.png,0143snorlax,snorlax-gmax.png
0144articuno,0144 Articuno Galar.png,0144articuno,articuno galar.png
0144articuno,0144 Articuno.png,0144articuno,articuno.png
0145zapdos,0145 Zapdos Galar 2.png,0145zapdos,zapdos galar.png
0145zapdos,0145 Zapdos.png,0145zapdos,zapdos.png
0146moltres,0146 Moltres BDSP.png,0146moltres,moltres.png
0146moltres,0146 Moltres Galar.png,0146moltres,moltres galar.png
0147dratini,0147 Dratini RG.png,0147dratini,dratini.png
0148dragonair,0148 Dragonair.png,0148dragonair,dragonair.png
0149dragonite,0149 Dragonite RG.png,0149dragonite,dragonite.png
0150mewtwo,0150 Mewtwo BDSP.png,0150mewtwo,mewtwo.png
0150mewtwo,0150 Mewtwo Mega Y.png,0150mewtwo,mewtwo-mega-y.png
0151mew,0151 Mew.png,0151mew,mew.png
0152chikorita,0152 Chikorita GS.png,0152chikorita,chikorita.png
0153bayleef,0153 Bayleef.png,0153bayleef,bayleef.png
0154meganium,0154 Meganium GS.png,0154meganium,meganium.png
0155cyndaquil,0155 Cyndaquil E.png,0155cyndaquil,cyndaquil.png
0157typhlosion,0157 Typhlosion GS.png,0157typhlosion,typhlosion.png
0158totodile,0158 Totodile E.png,0158totodile,totodile.png
0159croconaw,0159 Croconaw.png,0159croconaw,croconaw.png
0160feraligatr,0160 Feraligatr.png,0160feraligatr,feraligatr.png
0161sentret,0161 Sentret.png,0161sentret,sentret.png
0163hoothoot,0163 Hoothoot.png,0163hoothoot,hoothoot.png
0164noctowl,0164 Noctowl GS.png,0164noctowl,noctowl.png
0165ledyba,0165 Ledyba.png,0165ledyba,ledyba.png
0166ledian,0166 Ledian.png,0166ledian,ledian.png
0167spinarak,0167 Spinarak.png,0167spinarak,spinarak.png
0168ariados,0168 Ariados.png,0168ariados,ariados.png
0169crobat,0169 Crobat GS.png,0169crobat,crobat.png
0170chinchou,0170 Chinchou.png,0170chinchou,chinchou.png
0171lanturn,0171 Lanturn GS.png,0171lanturn,lanturn.png
0172pichu,0172 Pichu GS.png,0172pichu,pichu.png
0173cleffa,0173 Cleffa GS.png,0173cleffa,cleffa.png
0173cleffa,0173 Cleffa.png,0173cleffa,cleffa_right.png
0174igglybuff,0174 Igglybuff.png,0174igglybuff,igglybuff.png
0175togepi,0175 Togepi.png,0175togepi,togepi.png
0176togetic,0176 Togetic GS.png,0176togetic,togetic.png
0177natu,0177 Natu GS.png,0177natu,natu.png
0178xatu,0178 Xatu.png,0178xatu,xatu.png
0179mareep,0179 Mareep GS.png,0179mareep,mareep.png
0180flaaffy,0180 Flaaffy.png,0180flaaffy,flaaffy.png
0181ampharos,0181 Ampharos GS.png,0181ampharos,ampharos.png
0181ampharos,0181 Ampharos Mega.png,0181ampharos,ampharos-mega.png
0182bellossom,0182 Bellossom.png,0182bellossom,bellossom.png
0183marill,0183 Marill GS.png,0183marill,marill.png
0184azumarill,0184 Azumarill GS.png,0184azumarill,azumarill.png
0185sudowoodo,0185 Sudowoodo GS.png,0185sudowoodo,sudowoodo.png
0186politoed,0186 Politoed.png,0186politoed,politoed.png
0187hoppip,0187 Hoppip GS.png,0187hoppip,hoppip.png
0188skiploom,0188 Skiploom.png,0188skiploom,skiploom.png
0189jumpluff,0189 Jumpluff GS.png,0189jumpluff,jumpluff.png
0191sunkern,0191 Sunkern GS.png,0191sunkern,sunkern.png
0192sunflora,0192 Sunflora GS.png,0192sunflora,sunflora.png
0193yanma,0193 Yanma.png,0193yanma,yanma.png
0194wooper,0194 Wooper GS.png,0194wooper,wooper.png
0195quagsire,0195 Quagsire GS.png,0195quagsire,quagsire.png
0196espeon,0196 Espeon.png,0196espeon,espeon.png
0197umbreon,0197 Umbreon GS.png,0197umbreon,umbreon.png
0198murkrow,0198 Murkrow.png,0198murkrow,murkrow.png
0199slowking,0199 Slowking Galar.png,0199slowking,slowking galar.png
0199slowking,0199 Slowking.png,0199slowking,slowking.png
0200misdreavus,0200 Misdreavus GS.png,0200misdreavus,misdreavus.png
0201unown,0201 Unown GS.png,0201unown,unown-f.png
0201unown,0201 Unown.png,0201unown,unown-g.png
0202wobbuffet,0202 Wobbuffet.png,0202wobbuffet,wobbuffet.png
0203girafarig,0203 Girafarig GS.png,0203girafarig,girafarig.png
0204pineco,0204 Pineco.png,0204pineco,pineco.png
0205forretress,0205 Forretress GS.png,0205forretress,forretress.png
0206dunsparce,0206 Dunsparce.png,0206dunsparce,dunsparce.png
0207gligar,0207 Gligar GS.png,0207gligar,gligar.png
0208steelix,0208 Steelix Mega.png,0208steelix,steelix-mega.png
0208steelix,0208 Steelix.png,0208steelix,steelix.png
0209snubbull,0209 Snubbull.png,0209snubbull,snubbull.png
0210granbull,0210 Granbull GS.png,0210granbull,granbull.png
0211qwilfish,0211 Qwilfish Hisui.png,0211qwilfish,qwilfish hisui.png
0212scizor,0212 Scizor GS.png,0212scizor,scizor.png
0212scizor,0212 Scizor Mega.png,0212scizor,scizor-mega.png
0213shuckle,0213 Shuckle GS.png,0213shuckle,shuckle.png
0214heracross,0214 Heracross Mega.png,0214heracross,heracross-mega.png
0214heracross,0214 Heracross.png,0214heracross,heracross.png
0215sneasel,0215 Sneasel GS.png,0215sneasel,sneasel.png
0216teddiursa,0216 Teddiursa.png,0216teddiursa,teddiursa.png
0217ursaring,0217 Ursaring.png,0217ursaring,ursaring.png
0218slugma,0218 Slugma.png,0218slugma,slugma.png
0219magcargo,0219 Magcargo GS.png,0219magcargo,magcargo.png
0220swinub,0220 Swinub GS.png,0220swinub,swinub.png
0221piloswine,0221 Piloswine GS.png,0221piloswine,piloswine.png
0222corsola,0222 Corsola GS.png,0222corsola,corsola.png
0223remoraid,0223 Remoraid.png,0223remoraid,remoraid.png
0224octillery,0224 Octillery GS.png,0224octillery,octillery.png
0225delibird,0225 Delibird.png,0225delibird,delibird.png
0226mantine,0226 Mantine GS.png,0226mantine,mantine.png
0227skarmory,0227 Skarmory GS.png,0227skarmory,skarmory.png
0228houndour,0228 Houndour.png,0228houndour,houndour.png
0229houndoom,0229 Houndoom.png,0229houndoom,houndoom.png
0230kingdra,0230 Kingdra.png,0230kingdra,kingdra.png
0231phanpy,0231 Phanpy GS.png,0231phanpy,phanpy.png
0232donphan,0232 Donphan.png,0232donphan,donphan.png
0234stantler,0234 Stantler.png,0234stantler,stantler.png
0235smeargle,0235 Smeargle GS.png,0235smeargle,smeargle.png
0236tyrogue,0236 Tyrogue GS.png,0236tyrogue,tyrogue.png
0237hitmontop,0237 Hitmontop GS.png,0237hitmontop,hitmontop.png
0238smoochum,0238 Smoochum GS.png,0238smoochum,smoochum.png
0239elekid,0239 Elekid.png,0239elekid,elekid.png
0240magby,0240 Magby.png,0240magby,magby.png
0241miltank,0241 Miltank GS.png,0241miltank,miltank.png
0242blissey,0242 Blissey GS.png,0242blissey,blissey.png
0243raikou,0243 Raikou GS.png,0243raikou,raikou.png
0244entei,0244 Entei.png,0244entei,entei.png
0245suicune,0245 Suicune.png,0245suicune,suicune.png
0246larvitar,0246 Larvitar GS.png,0246larvitar,larvitar.png
0248tyranitar,0248 Tyranitar GS.png,0248tyranitar,tyranitar.png
0248tyranitar,0248 Tyranitar Mega.png,0248tyranitar,tyranitar-mega.png
0249lugia,0249 Lugia.png,0249lugia,lugia.png
0251celebi,0251 Celebi.png,0251celebi,celebi.png
0252treecko,0252 Treecko.png,0252treecko,treecko.png
0253grovyle,0253 Grovyle.png,0253grovyle,grovyle.png
0254sceptile,0254 Sceptile.png,0254sceptile,sceptile.png
0255torchic,0255 Torchic.png,0255torchic,torchic.png
0256combusken,0256 Combusken.png,0256combusken,combusken.png
0257blaziken,0257 Blaziken Mega.png,0257blaziken,blaziken-mega.png
0258mudkip,0258 Mudkip.png,0258mudkip,mudkip.png
0259marshtomp,0259 Marshtomp.png,0259marshtomp,marshtomp.png
0260swampert,0260 Swampert Mega.png,0260swampert,swampert-mega.png
0260swampert,0260 Swampert.png,0260swampert,swampert.png
0261poochyena,0261 Poochyena.png,0261poochyena,poochyena.png
0262mightyena,0262 Mightyena.png,0262mightyena,mightyena.png
0263zigzagoon,0263 Zigzagoon Galar.png,0263zigzagoon,zigzagoon galar.png
0263zigzagoon,0263 Zigzagoon.png,0263zigzagoon,zigzagoon.png
0264linoone,0264 Linoone.png,0264linoone,linoone.png
0266silcoon,0266 Silcoon.png,0266silcoon,silcoon.png
0267beautifly,0267 Beautifly.png,0267beautifly,beautifly.png
0268cascoon,0268 Cascoon.png,0268cascoon,cascoon.png
0269dustox,0269 Dustox.png,0269dustox,dustox.png
0270lotad,0270 Lotad.png,0270lotad,lotad.png
0271lombre,0271 Lombre.png,0271lombre,lombre.png
0272ludicolo,0272 Ludicolo.png,0272ludicolo,ludicolo.png
0273seedot,0273 Seedot.png,0273seedot,seedot.png
0274nuzleaf,0274 Nuzleaf.png,0274nuzleaf,nuzleaf.png
0275shiftry,0275 Shiftry.png,0275shiftry,shiftry.png
0276taillow,0276 Taillow.png,0276taillow,taillow.png
0277swellow,0277 Swellow.png,0277swellow,swellow.png
0278wingull,0278 Wingull.png,0278wingull,wingull.png
0279pelipper,0279 Pelipper.png,0279pelipper,pelipper.png
0280ralts,0280 Ralts.png,0280ralts,ralts.png
0281kirlia,0281 Kirlia.png,0281kirlia,kirlia.png
0282gardevoir,0282 Gardevoir Mega.png,0282gardevoir,gardevoir-mega.png
0282gardevoir,0282 Gardevoir.png,0282gardevoir,gardevoir.png
0283surskit,0283 Surskit.png,0283surskit,surskit.png
0284masquerain,0284 Masquerain.png,0284masquerain,masquerain.png
0285shroomish,0285 Shroomish.png,0285shroomish,shroomish.png
0286breloom,0286 Breloom.png,0286breloom,breloom.png
0287slakoth,0287 Slakoth.png,0287slakoth,slakoth.png
0288vigoroth,0288 Vigoroth.png,0288vigoroth,vigoroth.png
0289slaking,0289 Slaking.png,0289slaking,slaking.png
0290nincada,0290 Nincada.png,0290nincada,nincada.png
0291ninjask,0291 Ninjask.png,0291ninjask,ninjask.png
0292shedinja,0292 Shedinja.png,0292shedinja,shedinja.png
0293whismur,0293 Whismur.png,0293whismur,whismur.png
0294loudred,0294 Loudred.png,0294loudred,loudred.png
0295exploud,0295 Exploud.png,0295exploud,exploud.png
0296makuhita,0296 Makuhita.png,0296makuhita,makuhita.png
0297hariyama,0297 Hariyama.png,0297hariyama,hariyama.png
0298azurill,0298 Azurill.png,0298azurill,azurill.png
0301delcatty,0301 Delcatty.png,0301delcatty,delcatty.png
0302sableye,0302 Sableye Mega.png,0302sableye,sableye-mega.png
0302sableye,0302 Sableye.png,0302sableye,sableye.png
0303mawile,0303 Mawile.png,0303mawile,mawile.png
0304aron,0304 Aron.png,0304aron,aron.png
0305lairon,0305 Lairon.png,0305lairon,lairon.png
0306aggron,0306 Aggron Mega.png,0306aggron,aggron-mega.png
0306aggron,0306 Aggron.png,0306aggron,aggron.png
0307meditite,0307 Meditite.png,0307meditite,meditite.png
0308medicham,0308 Medicham Mega.png,0308medicham,medicham-mega.png
0308medicham,0308 Medicham.png,0308medicham,medicham.png
0309electrike,0309 Electrike.png,0309electrike,electrike.png
0310manectric,0310 Manectric Mega.png,0310manectric,manectric-mega.png
0310manectric,0310 Manectric.png,0310manectric,manectric.png
0311plusle,0311 Plusle.png,0311plusle,plusle.png
0312minun,0312 Minun.png,0312minun,minun.png
0313volbeat,0313 Volbeat.png,0313volbeat,volbeat.png
0314illumise,0314 Illumise.png,0314illumise,illumise.png
0315roselia,0315 Roselia.png,0315roselia,roselia.png
0316gulpin,0316 Gulpin.png,0316gulpin,gulpin.png
0317swalot,0317 Swalot.png,0317swalot,swalot.png
0318carvanha,0318 Carvanha.png,0318carvanha,carvanha.png
0319sharpedo,0319 Sharpedo Mega.png,0319sharpedo,sharpedo-mega.png
0319sharpedo,0319 Sharpedo.png,0319sharpedo,sharpedo.png
0320wailmer,0320 Wailmer.png,0320wailmer,wailmer.png
0321wailord,0321 Wailord.png,0321wailord,wailord.png
0322numel,0322 Numel.png,0322numel,numel.png
0323camerupt,0323 Camerupt Mega.png,0323camerupt,camerupt-mega.png
0323camerupt,0323 Camerupt.png,0323camerupt,camerupt.png
0324torkoal,0324 Torkoal.png,0324torkoal,torkoal.png
0325spoink,0325 Spoink.png,0325spoink,spoink.png
0326grumpig,0326 Grumpig.png,0326grumpig,grumpig.png
0327spinda,0327 Spinda.png,0327spinda,spinda.png
0328trapinch,0328 Trapinch.png,0328trapinch,trapinch.png
0329vibrava,0329 Vibrava.png,0329vibrava,vibrava.png
0330flygon,0330 Flygon.png,0330flygon,flygon.png
0331cacnea,0331 Cacnea.png,0331cacnea,cacnea.png
0332cacturne,0332 Cacturne.png,0332cacturne,cacturne.png
0333swablu,0333 Swablu.png,0333swablu,swablu.png
0334altaria,0334 Altaria Mega.png,0334altaria,altaria-mega.png
0334altaria,0334 Altaria.png,0334altaria,altaria.png
0335zangoose,0335 Zangoose.png,0335zangoose,zangoose.png
0336seviper,0336 Seviper.png,0336seviper,seviper.png
0337lunatone,0337 Lunatone.png,0337lunatone,lunatone.png
0338solrock,0338 Solrock.png,0338solrock,solrock.png
0339barboach,0339 Barboach.png,0339barboach,barboach.png
0340whiscash,0340 Whiscash.png,0340whiscash,whiscash.png
0341corphish,0341 Corphish.png,0341corphish,corphish.png
0342crawdaunt,0342 Crawdaunt.png,0342crawdaunt,crawdaunt.png
0343baltoy,0343 Baltoy.png,0343baltoy,baltoy.png
0344claydol,0344 Claydol.png,0344claydol,claydol.png
0345lileep,0345 Lileep.png,0345lileep,lileep.png
0346cradily,0346 Cradily.png,0346cradily,cradily.png
0347anorith,0347 Anorith.png,0347anorith,anorith.png
0348armaldo,0348 Armaldo.png,0348armaldo,armaldo.png
0349feebas,0349 Feebas.png,0349feebas,feebas.png
0350milotic,0350 Milotic.png,0350milotic,milotic.png
0351castform,0351 Castform Rainy.png,0351castform,castform-rainy.png
0351castform,0351 Castform Snowy.png,0351castform,castform-snowy.png
0351castform,0351 Castform Sunny.png,0351castform,castform-sunny.png
0351castform,0351 Castform.png,0351castform,castform.png
0352kecleon,0352 Kecleon.png,0352kecleon,kecleon.png
0353shuppet,0353 Shuppet.png,0353shuppet,shuppet.png
0354banette,0354 Banette Mega.png,0354banette,banette-mega.png
0354banette,0354 Banette.png,0354banette,banette.png
0355duskull,0355 Duskull.png,0355duskull,duskull.png
0356dusclops,0356 Dusclops.png,0356dusclops,dusclops.png
0358chimecho,0358 Chimecho.png,0358chimecho,chimecho.png
0359absol,0359 Absol Mega.png,0359absol,absol-mega.png
0359absol,0359 Absol.png,0359absol,absol_right.png
0360wynaut,0360 Wynaut.png,0360wynaut,wynaut.png
0361snorunt,0361 Snorunt.png,0361snorunt,snorunt.png
0362glalie,0362 Glalie.png,0362glalie,glalie.png
0363spheal,0363 Spheal.png,0363spheal,spheal.png
0365walrein,0365 Walrein.png,0365walrein,walrein.png
0366clamperl,0366 Clamperl.png,0366clamperl,clamperl.png
0367huntail,0367 Huntail.png,0367huntail,huntail.png
0368gorebyss,0368 Gorebyss.png,0368gorebyss,gorebyss.png
0369relicanth,0369 Relicanth.png,0369relicanth,relicanth.png
0370luvdisc,0370 Luvdisc.png,0370luvdisc,luvdisc.png
0371bagon,0371 Bagon.png,0371bagon,bagon.png
0372shelgon,0372 Shelgon.png,0372shelgon,shelgon.png
0373salamence,0373 Salamence Mega.png,0373salamence,salamence-mega.png
0373salamence,0373 Salamence.png,0373salamence,salamence.png
0374beldum,0374 Beldum.png,0374beldum,beldum.png
0375metang,0375 Metang.png,0375metang,metang.png
0376metagross,0376 Metagross Mega.png,0376metagross,metagross-mega.png
0376metagross,0376 Metagross.png,0376metagross,metagross.png
0377regirock,0377 Regirock.png,0377regirock,regirock.png
0378regice,0378 Regice.png,0378regice,regice.png
0379registeel,0379 Registeel.png,0379registeel,registeel.png
0380latias,0380 Latias.png,0380latias,latias.png
0381latios,0381 Latios Mega.png,0381latios,latios-mega.png
0381latios,0381 Latios.png,0381latios,latios.png
0382kyogre,0382 Kyogre Primal 2.png,0382kyogre,kyogre-primal.png
0382kyogre,0382 Kyogre.png,0382kyogre,kyogre.png
0383groudon,0383 Groudon.png,0383groudon,groudon.png
0384rayquaza,0384 Rayquaza Mega Shiny.png,0384rayquaza,rayquaza-mega_shiny.png
0384rayquaza,0384 Rayquaza Mega.png,0384rayquaza,rayquaza-mega.png
0384rayquaza,0384 Rayquaza.png,0384rayquaza,rayquaza.png
0385jirachi,0385 Jirachi.png,0385jirachi,jirachi.png
0386deoxys,0386 Deoxys Attack.png,0386deoxys,deoxys-attack.png
0386deoxys,0386 Deoxys Speed.png,0386deoxys,deoxys-speed.png
0386deoxys,0386 Deoxys.png,0386deoxys,deoxys.png
0387turtwig,0387 Turtwig.png,0387turtwig,turtwig.png
0388grotle,0388 Grotle.png,0388grotle,grotle.png
0389torterra,0389 Torterra.png,0389torterra,torterra.png
