project_file,sprite_file,status,reason
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0009blastoise/poke_capture_0009_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0009blastoise/blastoise.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0009blastoise/poke_capture_0009_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0009blastoise/blastoise_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0009blastoise/poke_capture_0009_001_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0009blastoise/blastoise-mega.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0009blastoise/poke_capture_0009_001_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0009blastoise/blastoise-mega_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0010caterpie/poke_capture_0010_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0010caterpie/caterpie.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0010caterpie/poke_capture_0010_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0010caterpie/caterpie_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0011metapod/poke_capture_0011_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0011metapod/metapod.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0011metapod/poke_capture_0011_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0011metapod/metapod_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0012butterfree/poke_capture_0012_000_fd_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0012butterfree/butterfree.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0012butterfree/poke_capture_0012_000_fd_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0012butterfree/butterfree_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0012butterfree/poke_capture_0012_000_md_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0012butterfree/butterfree.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0012butterfree/poke_capture_0012_000_md_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0012butterfree/butterfree_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0012butterfree/poke_capture_0012_000_mf_g_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0012butterfree/butterfree-gmax.png,mapped,gmax-direct
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0012butterfree/poke_capture_0012_000_mf_g_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0012butterfree/butterfree-gmax_shiny.png,mapped,gmax-direct
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0013weedle/poke_capture_0013_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0013weedle/weedle.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0013weedle/poke_capture_0013_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0013weedle/weedle_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0014kakuna/poke_capture_0014_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0014kakuna/kakuna.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0014kakuna/poke_capture_0014_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0014kakuna/kakuna_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0015beedrill/poke_capture_0015_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0015beedrill/beedrill.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0015beedrill/poke_capture_0015_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0015beedrill/beedrill_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0015beedrill/poke_capture_0015_001_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0015beedrill/beedrill-mega.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0015beedrill/poke_capture_0015_001_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0015beedrill/beedrill-mega_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0016pidgey/poke_capture_0016_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0016pidgey/pidgey.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0016pidgey/poke_capture_0016_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0016pidgey/pidgey_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0017pidgeotto/poke_capture_0017_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0017pidgeotto/pidgeotto.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0017pidgeotto/poke_capture_0017_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0017pidgeotto/pidgeotto_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0018pidgeot/poke_capture_0018_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0018pidgeot/pidgeot.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0018pidgeot/poke_capture_0018_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0018pidgeot/pidgeot_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0018pidgeot/poke_capture_0018_001_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0018pidgeot/pidgeot-mega.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0018pidgeot/poke_capture_0018_001_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0018pidgeot/pidgeot-mega_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0019rattata/poke_capture_0019_000_fd_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0019rattata/rattata alola.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0019rattata/poke_capture_0019_000_fd_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0019rattata/rattata alola_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0019rattata/poke_capture_0019_000_md_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0019rattata/rattata alola.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0019rattata/poke_capture_0019_000_md_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0019rattata/rattata alola_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0019rattata/poke_capture_0019_001_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0019rattata/rattata.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0019rattata/poke_capture_0019_001_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0019rattata/rattata_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0020raticate/poke_capture_0020_000_fd_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0020raticate/raticate alola.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0020raticate/poke_capture_0020_000_fd_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0020raticate/raticate alola_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0020raticate/poke_capture_0020_000_md_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0020raticate/raticate alola.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0020raticate/poke_capture_0020_000_md_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0020raticate/raticate alola_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0020raticate/poke_capture_0020_001_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0020raticate/raticate.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0020raticate/poke_capture_0020_001_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0020raticate/raticate_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0021spearow/poke_capture_0021_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0021spearow/spearow.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0021spearow/poke_capture_0021_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0021spearow/spearow_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0022fearow/poke_capture_0022_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0022fearow/fearow.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0022fearow/poke_capture_0022_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0022fearow/fearow_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0023ekans/poke_capture_0023_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0023ekans/ekans.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0023ekans/poke_capture_0023_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0023ekans/ekans_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0024arbok/poke_capture_0024_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0024arbok/arbok.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0024arbok/poke_capture_0024_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0024arbok/arbok_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_000_fd_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu alola cap.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_000_fd_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu alola cap_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_000_md_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu alola cap.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_000_md_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu alola cap_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_000_mf_g_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu-gmax.png,mapped,gmax-direct
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_000_mf_g_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu-gmax_shiny.png,mapped,gmax-direct
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_001_mo_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu alola cap_female.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_002_mo_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu alola cap_shiny_female.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_003_mo_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_004_mo_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu_female.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_005_mo_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu_shiny_female.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_006_mo_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu-belle.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_007_mo_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu-belle_right.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_008_fd_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu-belle_shiny_right.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_008_fd_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu-partner-cap_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_008_md_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu-belle_shiny_right.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_008_md_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu-partner-cap_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_009_mo_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu-cosplay.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0026raichu/poke_capture_0026_000_fd_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0026raichu/raichu alola.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0026raichu/poke_capture_0026_000_fd_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0026raichu/raichu alola_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0026raichu/poke_capture_0026_000_md_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0026raichu/raichu alola.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0026raichu/poke_capture_0026_000_md_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0026raichu/raichu alola_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0026raichu/poke_capture_0026_001_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0026raichu/raichu.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0026raichu/poke_capture_0026_001_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0026raichu/raichu_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0027sandshrew/poke_capture_0027_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0027sandshrew/sandshrew alola.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0027sandshrew/poke_capture_0027_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0027sandshrew/sandshrew alola_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0027sandshrew/poke_capture_0027_001_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0027sandshrew/sandshrew.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0027sandshrew/poke_capture_0027_001_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0027sandshrew/sandshrew_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0028sandslash/poke_capture_0028_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0028sandslash/sandslash alola.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0028sandslash/poke_capture_0028_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0028sandslash/sandslash alola_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0028sandslash/poke_capture_0028_001_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0028sandslash/sandslash.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0028sandslash/poke_capture_0028_001_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0028sandslash/sandslash_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0029nidoran-f/poke_capture_0029_000_fo_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0029nidoran-f/nidoran-f.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0029nidoran-f/poke_capture_0029_000_fo_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0029nidoran-f/nidoran-f_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0030nidorina/poke_capture_0030_000_fo_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0030nidorina/nidorina.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0030nidorina/poke_capture_0030_000_fo_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0030nidorina/nidorina_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0031nidoqueen/poke_capture_0031_000_fo_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0031nidoqueen/nidoqueen.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0031nidoqueen/poke_capture_0031_000_fo_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0031nidoqueen/nidoqueen_shiny.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0032nidoran-m/poke_capture_0032_000_mo_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0032nidoran-m/nidoran-m.png,mapped,variant-index
/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0032nidoran-m/poke_capture_0032_000_mo_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0032nidoran-m/nidoran-m_shiny.png,mapped,variant-index
