,model_folder,model_file,sprite_folder,sprite_file,model_path,sprite_path
17,0008wartortle,poke_capture_0008_000_mf_n_00000000_f_n.png,0008wartortle,wartortle.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0008wartortle/poke_capture_0008_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0008wartortle/wartortle.png
18,0008wartortle,poke_capture_0008_000_mf_n_00000000_f_r.png,0008wartortle,wartortle_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0008wartortle/poke_capture_0008_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0008wartortle/wartortle_shiny.png
19,0009blastoise,poke_capture_0009_000_mf_g_00000000_f_n.png,0009blastoise,blastoise-gmax.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0009blastoise/poke_capture_0009_000_mf_g_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0009blastoise/blastoise-gmax.png
20,0009blastoise,poke_capture_0009_000_mf_g_00000000_f_r.png,0009blastoise,blastoise-gmax_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0009blastoise/poke_capture_0009_000_mf_g_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0009blastoise/blastoise-gmax_shiny.png
21,0009blastoise,poke_capture_0009_001_mf_n_00000000_f_n.png,0009blastoise,blastoise-mega.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0009blastoise/poke_capture_0009_001_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0009blastoise/blastoise-mega.png
22,0009blastoise,poke_capture_0009_001_mf_n_00000000_f_r.png,0009blastoise,blastoise-mega_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0009blastoise/poke_capture_0009_001_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0009blastoise/blastoise-mega_shiny.png
23,0010caterpie,poke_capture_0010_000_mf_n_00000000_f_n.png,0010caterpie,caterpie.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0010caterpie/poke_capture_0010_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0010caterpie/caterpie.png
24,0010caterpie,poke_capture_0010_000_mf_n_00000000_f_r.png,0010caterpie,caterpie_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0010caterpie/poke_capture_0010_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0010caterpie/caterpie_shiny.png
25,0011metapod,poke_capture_0011_000_mf_n_00000000_f_n.png,0011metapod,metapod.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0011metapod/poke_capture_0011_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0011metapod/metapod.png
26,0011metapod,poke_capture_0011_000_mf_n_00000000_f_r.png,0011metapod,metapod_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0011metapod/poke_capture_0011_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0011metapod/metapod_shiny.png
27,0012butterfree,poke_capture_0012_000_fd_n_00000000_f_n.png,0012butterfree,butterfree.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0012butterfree/poke_capture_0012_000_fd_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0012butterfree/butterfree.png
28,0012butterfree,poke_capture_0012_000_fd_n_00000000_f_r.png,0012butterfree,butterfree_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0012butterfree/poke_capture_0012_000_fd_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0012butterfree/butterfree_shiny.png
29,0012butterfree,poke_capture_0012_000_md_n_00000000_f_r.png,0012butterfree,butterfree_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0012butterfree/poke_capture_0012_000_md_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0012butterfree/butterfree_shiny.png
30,0013weedle,poke_capture_0013_000_mf_n_00000000_f_n.png,0013weedle,weedle.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0013weedle/poke_capture_0013_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0013weedle/weedle.png
31,0013weedle,poke_capture_0013_000_mf_n_00000000_f_r.png,0013weedle,weedle_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0013weedle/poke_capture_0013_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0013weedle/weedle_shiny.png
32,0014kakuna,poke_capture_0014_000_mf_n_00000000_f_n.png,0014kakuna,kakuna.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0014kakuna/poke_capture_0014_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0014kakuna/kakuna.png
33,0014kakuna,poke_capture_0014_000_mf_n_00000000_f_r.png,0014kakuna,kakuna_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0014kakuna/poke_capture_0014_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0014kakuna/kakuna_shiny.png
34,0015beedrill,poke_capture_0015_000_mf_n_00000000_f_n.png,0015beedrill,beedrill.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0015beedrill/poke_capture_0015_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0015beedrill/beedrill.png
35,0015beedrill,poke_capture_0015_000_mf_n_00000000_f_r.png,0015beedrill,beedrill_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0015beedrill/poke_capture_0015_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0015beedrill/beedrill_shiny.png
36,0015beedrill,poke_capture_0015_001_mf_n_00000000_f_n.png,0015beedrill,beedrill-mega.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0015beedrill/poke_capture_0015_001_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0015beedrill/beedrill-mega.png
37,0015beedrill,poke_capture_0015_001_mf_n_00000000_f_r.png,0015beedrill,beedrill-mega_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0015beedrill/poke_capture_0015_001_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0015beedrill/beedrill-mega_shiny.png
38,0016pidgey,poke_capture_0016_000_mf_n_00000000_f_n.png,0016pidgey,pidgey.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0016pidgey/poke_capture_0016_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0016pidgey/pidgey.png
39,0016pidgey,poke_capture_0016_000_mf_n_00000000_f_r.png,0016pidgey,pidgey_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0016pidgey/poke_capture_0016_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0016pidgey/pidgey_shiny.png
40,0017pidgeotto,poke_capture_0017_000_mf_n_00000000_f_n.png,0017pidgeotto,pidgeotto.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0017pidgeotto/poke_capture_0017_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0017pidgeotto/pidgeotto.png
41,0017pidgeotto,poke_capture_0017_000_mf_n_00000000_f_r.png,0017pidgeotto,pidgeotto_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0017pidgeotto/poke_capture_0017_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0017pidgeotto/pidgeotto_shiny.png
42,0018pidgeot,poke_capture_0018_001_mf_n_00000000_f_n.png,0018pidgeot,pidgeot-mega.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0018pidgeot/poke_capture_0018_001_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0018pidgeot/pidgeot-mega.png
43,0018pidgeot,poke_capture_0018_001_mf_n_00000000_f_r.png,0018pidgeot,pidgeot-mega_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0018pidgeot/poke_capture_0018_001_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0018pidgeot/pidgeot-mega_shiny.png
44,0019rattata,poke_capture_0019_000_md_n_00000000_f_n.png,0019rattata,rattata.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0019rattata/poke_capture_0019_000_md_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0019rattata/rattata.png
45,0019rattata,poke_capture_0019_000_md_n_00000000_f_r.png,0019rattata,rattata_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0019rattata/poke_capture_0019_000_md_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0019rattata/rattata_shiny.png
46,0019rattata,poke_capture_0019_001_mf_n_00000000_f_n.png,0019rattata,rattata alola.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0019rattata/poke_capture_0019_001_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0019rattata/rattata alola.png
47,0019rattata,poke_capture_0019_001_mf_n_00000000_f_r.png,0019rattata,rattata alola_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0019rattata/poke_capture_0019_001_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0019rattata/rattata alola_shiny.png
48,0020raticate,poke_capture_0020_000_fd_n_00000000_f_n.png,0020raticate,raticate.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0020raticate/poke_capture_0020_000_fd_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0020raticate/raticate.png
49,0020raticate,poke_capture_0020_000_md_n_00000000_f_r.png,0020raticate,raticate_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0020raticate/poke_capture_0020_000_md_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0020raticate/raticate_shiny.png
50,0020raticate,poke_capture_0020_001_mf_n_00000000_f_n.png,0020raticate,raticate alola.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0020raticate/poke_capture_0020_001_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0020raticate/raticate alola.png
51,0020raticate,poke_capture_0020_001_mf_n_00000000_f_r.png,0020raticate,raticate alola_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0020raticate/poke_capture_0020_001_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0020raticate/raticate alola_shiny.png
52,0022fearow,poke_capture_0022_000_mf_n_00000000_f_n.png,0022fearow,fearow.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0022fearow/poke_capture_0022_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0022fearow/fearow.png
53,0022fearow,poke_capture_0022_000_mf_n_00000000_f_r.png,0022fearow,fearow_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0022fearow/poke_capture_0022_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0022fearow/fearow_shiny.png
54,0023ekans,poke_capture_0023_000_mf_n_00000000_f_n.png,0023ekans,ekans.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0023ekans/poke_capture_0023_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0023ekans/ekans.png
55,0023ekans,poke_capture_0023_000_mf_n_00000000_f_r.png,0023ekans,ekans_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0023ekans/poke_capture_0023_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0023ekans/ekans_shiny.png
56,0024arbok,poke_capture_0024_000_mf_n_00000000_f_n.png,0024arbok,arbok.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0024arbok/poke_capture_0024_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0024arbok/arbok.png
57,0024arbok,poke_capture_0024_000_mf_n_00000000_f_r.png,0024arbok,arbok_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0024arbok/poke_capture_0024_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0024arbok/arbok_shiny.png
58,0025pikachu,poke_capture_0025_000_md_n_00000000_f_n.png,0025pikachu,pikachu.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_000_md_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu.png
59,0025pikachu,poke_capture_0025_000_mf_g_00000000_f_n.png,0025pikachu,pikachu-gmax.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_000_mf_g_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu-gmax.png
60,0025pikachu,poke_capture_0025_000_mf_g_00000000_f_r.png,0025pikachu,pikachu-gmax_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_000_mf_g_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu-gmax_shiny.png
61,0025pikachu,poke_capture_0025_001_mo_n_00000000_f_n.png,0025pikachu,pikachu-original-cap.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_001_mo_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu-original-cap.png
62,0025pikachu,poke_capture_0025_002_mo_n_00000000_f_n.png,0025pikachu,pikachu-hoenn-cap.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_002_mo_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu-hoenn-cap.png
63,0025pikachu,poke_capture_0025_003_mo_n_00000000_f_n.png,0025pikachu,pikachu-sinnoh-cap.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_003_mo_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu-sinnoh-cap.png
64,0025pikachu,poke_capture_0025_004_mo_n_00000000_f_n.png,0025pikachu,pikachu-unova-cap.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_004_mo_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu-unova-cap.png
65,0025pikachu,poke_capture_0025_005_mo_n_00000000_f_n.png,0025pikachu,pikachu-kalos-cap.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_005_mo_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu-kalos-cap.png
66,0025pikachu,poke_capture_0025_006_mo_n_00000000_f_n.png,0025pikachu,pikachu alola cap.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_006_mo_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu alola cap.png
67,0025pikachu,poke_capture_0025_007_mo_n_00000000_f_n.png,0025pikachu,pikachu-partner-cap.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_007_mo_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu-partner-cap.png
68,0025pikachu,poke_capture_0025_008_fd_n_00000000_f_n.png,0025pikachu,pikachu_female.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_008_fd_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu_female.png
69,0025pikachu,poke_capture_0025_008_fd_n_00000000_f_r.png,0025pikachu,pikachu_shiny_female.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_008_fd_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu_shiny_female.png
70,0025pikachu,poke_capture_0025_008_md_n_00000000_f_n.png,0025pikachu,pikachu.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_008_md_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu.png
71,0025pikachu,poke_capture_0025_008_md_n_00000000_f_r.png,0025pikachu,pikachu_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_008_md_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu_shiny.png
72,0025pikachu,poke_capture_0025_009_mo_n_00000000_f_n.png,0025pikachu,pikachu-world-cap.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0025pikachu/poke_capture_0025_009_mo_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0025pikachu/pikachu-world-cap.png
73,0026raichu,poke_capture_0026_000_fd_n_00000000_f_n.png,0026raichu,raichu.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0026raichu/poke_capture_0026_000_fd_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0026raichu/raichu.png
74,0026raichu,poke_capture_0026_000_fd_n_00000000_f_r.png,0026raichu,raichu_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0026raichu/poke_capture_0026_000_fd_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0026raichu/raichu_shiny.png
75,0026raichu,poke_capture_0026_000_md_n_00000000_f_n.png,0026raichu,raichu.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0026raichu/poke_capture_0026_000_md_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0026raichu/raichu.png
76,0026raichu,poke_capture_0026_000_md_n_00000000_f_r.png,0026raichu,raichu_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0026raichu/poke_capture_0026_000_md_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0026raichu/raichu_shiny.png
77,0026raichu,poke_capture_0026_001_mf_n_00000000_f_n.png,0026raichu,raichu alola.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0026raichu/poke_capture_0026_001_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0026raichu/raichu alola.png
78,0026raichu,poke_capture_0026_001_mf_n_00000000_f_r.png,0026raichu,raichu alola_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0026raichu/poke_capture_0026_001_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0026raichu/raichu alola_shiny.png
79,0027sandshrew,poke_capture_0027_000_mf_n_00000000_f_n.png,0027sandshrew,sandshrew.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0027sandshrew/poke_capture_0027_000_mf_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0027sandshrew/sandshrew.png
80,0027sandshrew,poke_capture_0027_000_mf_n_00000000_f_r.png,0027sandshrew,sandshrew_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0027sandshrew/poke_capture_0027_000_mf_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0027sandshrew/sandshrew_shiny.png
81,0030nidorina,poke_capture_0030_000_fo_n_00000000_f_n.png,0030nidorina,nidorina.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0030nidorina/poke_capture_0030_000_fo_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0030nidorina/nidorina.png
82,0030nidorina,poke_capture_0030_000_fo_n_00000000_f_r.png,0030nidorina,nidorina_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0030nidorina/poke_capture_0030_000_fo_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0030nidorina/nidorina_shiny.png
83,0031nidoqueen,poke_capture_0031_000_fo_n_00000000_f_n.png,0031nidoqueen,nidoqueen.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0031nidoqueen/poke_capture_0031_000_fo_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0031nidoqueen/nidoqueen.png
84,0031nidoqueen,poke_capture_0031_000_fo_n_00000000_f_r.png,0031nidoqueen,nidoqueen_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0031nidoqueen/poke_capture_0031_000_fo_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0031nidoqueen/nidoqueen_shiny.png
85,0032nidoran-m,poke_capture_0032_000_mo_n_00000000_f_n.png,0032nidoran-m,nidoran-m.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0032nidoran-m/poke_capture_0032_000_mo_n_00000000_f_n.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0032nidoran-m/nidoran-m.png
86,0032nidoran-m,poke_capture_0032_000_mo_n_00000000_f_r.png,0032nidoran-m,nidoran-m_shiny.png,/content/drive/MyDrive/612 data/ProjectPokemonCleaned/0032nidoran-m/poke_capture_0032_000_mo_n_00000000_f_r.png,/content/drive/MyDrive/612 data/PokeSpriteCleaned/0032nidoran-m/nidoran-m_shiny.png
